Task2 Solution (Core Perspective) of Our team:

Host0 finishes its jobs at 184.65, and is released at 186.36:

        Core0 has 28 tasks. It finishes its jobs at 177.30, and is released at 177.30:
                J14, B35, runTime 000.0 to 003.8
                J14, B45, runTime 003.8 to 006.9
                J14, B39, runTime 006.9 to 010.0
                J14, B27, runTime 010.0 to 013.0
                J14, B02, runTime 013.0 to 015.8
                J14, B18, runTime 015.8 to 018.4
                J14, B00, runTime 018.4 to 020.8
                J14, B24, runTime 020.8 to 022.7
                J14, B19, runTime 022.7 to 024.7
                J14, B10, runTime 024.7 to 026.4
                J14, B26, runTime 026.4 to 028.1
                J14, B06, runTime 028.1 to 029.5
                J14, B20, runTime 029.5 to 030.6
                J14, B01, runTime 030.6 to 031.7
                J14, B30, runTime 031.7 to 032.3
                J08, B00, runTime 046.4 to 058.4
                J08, B21, runTime 058.4 to 066.9
                J08, B47, runTime 066.9 to 073.9
                J08, B37, runTime 073.9 to 079.9
                J08, B28, runTime 079.9 to 084.0
                J08, B60, runTime 084.0 to 086.7
                J08, B27, runTime 086.7 to 088.4
                J13, B22, runTime 107.9 to 132.2
                J13, B41, runTime 132.2 to 148.0
                J13, B30, runTime 148.0 to 161.0
                J13, B11, runTime 161.0 to 168.8
                J13, B06, runTime 168.8 to 173.7
                J13, B08, runTime 173.7 to 177.3

        Core1 has 8 tasks. It finishes its jobs at 184.65, and is released at 186.36:
                J12, B49, runTime 000.0 to 036.4
                J12, B28, runTime 036.4 to 068.9
                J12, B11, runTime 068.9 to 099.0
                J12, B34, runTime 099.0 to 124.2
                J12, B25, runTime 124.2 to 146.2
                J12, B03, runTime 146.2 to 163.0
                J12, B46, runTime 163.0 to 177.7
                J12, B01, runTime 177.7 to 184.6

        Core2 has 40 tasks. It finishes its jobs at 184.44, and is released at 184.53:
                J14, B44, runTime 000.0 to 003.7
                J14, B07, runTime 003.7 to 007.1
                J14, B22, runTime 007.1 to 009.9
                J14, B25, runTime 009.9 to 012.8
                J14, B28, runTime 012.8 to 015.5
                J14, B29, runTime 015.5 to 018.2
                J14, B31, runTime 018.2 to 020.7
                J14, B41, runTime 020.7 to 022.9
                J14, B38, runTime 022.9 to 024.8
                J14, B03, runTime 024.8 to 026.5
                J14, B21, runTime 026.5 to 028.0
                J14, B37, runTime 028.0 to 029.4
                J14, B43, runTime 029.4 to 030.7
                J14, B04, runTime 030.7 to 031.6
                J14, B23, runTime 031.6 to 032.3
                J14, B09, runTime 032.3 to 032.7
                J00, B29, runTime 032.8 to 037.5
                J00, B14, runTime 037.5 to 041.5
                J00, B01, runTime 041.5 to 044.7
                J00, B17, runTime 044.7 to 047.0
                J09, B22, runTime 047.6 to 060.3
                J09, B21, runTime 060.3 to 068.9
                J09, B04, runTime 068.9 to 074.1
                J09, B09, runTime 074.1 to 078.2
                J06, B09, runTime 088.5 to 095.0
                J06, B05, runTime 095.0 to 100.3
                J06, B64, runTime 100.3 to 105.0
                J06, B23, runTime 105.0 to 109.3
                J06, B36, runTime 109.3 to 113.0
                J06, B43, runTime 113.0 to 115.6
                J06, B54, runTime 115.6 to 118.2
                J06, B10, runTime 118.2 to 119.6
                J03, B42, runTime 120.4 to 132.7
                J03, B47, runTime 132.7 to 144.7
                J03, B38, runTime 144.7 to 156.0
                J03, B73, runTime 156.0 to 165.1
                J03, B69, runTime 165.1 to 172.3
